# 2012 cycle candidate fixes, submitted by Jeremy Singer-Vine
name	candidate_id
"GRIFFIN, JOHN"	H0AR02107
"GOSAR, PAUL"	H0AZ01259
"BERA, AMERISH"	H0CA03078
"BERA, AMI"	H0CA03078
"GARAMENDI, JOHN"	H0CA10149
"DENHAM, JEFF"	H0CA19173
"JEFF, DENHAM"	H0CA19173
"DOLD, BOB"	H0IL10302
"BENISHEK, DAN"	H0MI01088
"BENISHEK, DANIEL"	H0MI01088
"MCDOWELL, GARY"	H0MI01153
"KEADLE, SCOTT"	H0NC10151
"BUERKLE, ANN MARIE"	H0NY25078
"GRANTHAM, TRAVIS"	H2AZ06155
"TRAVIS, GRANTHAM"	H2AZ06155
"SINEMA, KRYSTEN"	H2AZ09019
"VANN, KIM"	H2CA03090
"COOK, PAUL"	H2CA08164
"PAUL, COOK"	H2CA08164
"HERNANDEZ, JOSE"	H2CA10145
"SWALWELL, ERIC"	H2CA15094
"ABEL, MALDONADO"	H2CA23106
"BERMAN, HOWARD"	H2CA26026
"TONY, STRICKLAND"	H2CA26109
"AGUILAR, PETE"	H2CA31125
"DUTTON, BOB"	H2CA31133
"MCLEOD, GLORIA NEGRETE"	H2CA35118
"DELONG, GARY"	H2CA47105
"PETERS, SCOTT"	H2CA52089
"COSTELLO, FREDRICK"	H2FL06158
"DEMINGS, VAL"	H2FL08063
"AUBUCHON, GARY"	H2FL14145
"VILSACK, CHRISTIE"	H2IA04117
"KRISHNAMOORTHI, RAJA"	H2IL08096
"SCHNEIDER, BRAD"	H2IL10068
"ADLER, SHELLEY"	H2NJ03183
"HOCHUL, KATHY"	H2NY00036
"CROWLEY, ELIZABETH"	H2NY06124
"GALLEGO, PETE"	H2TX23124
"TAJ, CLAYTON"	H2TX30087
"VEASEY, MARC"	H2TX33073
"KREITLOW, PAT"	H2WI07065
"DAVID, SCHWEIKERT"	H4AZ06045
"SCHWEIKERT, DAVID"	H4AZ06045
"MCNERNEY, JERRY"	H4CA11081
"JIM, COSTA"	H4CA20082
"BILBRAY, BRIAN"	H4CA49032
"BRIAN, BILBRAY"	H4CA49032
"BARROW, JOHN"	H4GA12010
"LATHAM, TOM"	H4IA05102
"DAVIS, JACK"	H4NY26045
"CANSECO, FRANCISCO RAUL QUICO"	H4TX28046
"CANSECO, FRANCISCO"	H4TX28046
"CANSECO, QUICO"	H4TX28046
"STARK, PETE"	H6CA09023
"WAXMAN, HENRY"	H6CA24048
"SHERMAN, BRAD"	H6CA24113
"LUNGREN, DAN"	H6CA34112
"BOSWELL, LEONARD"	H6IA03144
"DUCKWORTH, TAMMY"	H6IL06141
"TAMMY, DUCKWORTH"	H6IL06141
"RANGEL, CHARLES"	H6NY19029
"MAFFEI, DAN"	H6NY25125
"SUTTON, BETTY"	H6OH13133
"RAHALL, NICK"	H6WV04057
"CAPPS, LOIS"	H8CA22089
"MILLER, GARY"	H8CA41063
"MARY, MACK"	H8CA44034
"CRIMMINS, MICHAEL"	H8CA53019
"SIMPSON, MIKE"	H8ID02064
"PETERS, GARY"	H8MI09068
"MCINTYRE, MIKE"	H8NC07044
"CONNOLLY, GERALD"	H8VA11062
"JOHNSON, GARY"	P20002671
"SANTORUM, RICK"	P20002721
"HUNTSMAN, JON"	P20003067
"PERRY, RICK"	P20003281
"GINGRICH, NEWT"	P60003654
"NEWT, GINGRICH"	P60003654
"PAUL, RON"	P80000748
"RON, P"	P80000748
"RON, PAUL"	P80000748
"BARACK, OBAMA"	P80003338
"OBAMA, BARACK"	P80003338
"OBAMA, BARAK HUSSEIN"	P80003338
"OBAMA, BARAK"	P80003338
"ROMNE, MITT"	P80003353
"ROMNEY, MITT"	P80003353
"FLAKE, JEFF"	S2AZ00141
"CARMONA, RICHARD"	S2AZ00232
"CHRIS, MURPHY"	S2CT00132
"MURPHY, CHRISTOPHER"	S2CT00132
"MOURDOCK, RICHARD E."	S2IN00083
"DONNELLY, JOE"	S2IN00091
"JOE, DONNELLY"	S2IN00091
"WARREN, ELIZABETH"	S2MA00170
"HEITKAMP, HEIDI"	S2ND00099
"HEINRICH, MARTIN"	S2NM00088
"BERKELEY, SHELLEY"	S2NV00209
"BERKLEY, SHELLEY"	S2NV00209
"SHELLEY, BERKLEY"	S2NV00209
"JOSH, MANDEL"	S2OH00170
"MANDEL, JOSH"	S2OH00170
"DEWHURST, DAVID"	S2TX00361
"KAINE, TIM"	S2VA00142
"KAINE, TIMOTHY"	S2VA00142
"TAMMY, BALDWIN"	S2WI00219
"THOMPSON, TOMMY"	S2WI00235
"JON, TESTER"	S6MT00162
"TESTER, JON"	S6MT00162
"BROWN, SHERROD"	S6OH00163
"HATCH, ORRIN"	S6UT00063
"BOB, KERREY"	S8NE00067
"KERREY, J. ROBERT"	S8NE00067
"WILSON, HEATHER"	S8NM00168
"ALLEN, GEORGE"	S8VA00214
